volume,tipo,caratteri
V005,incontro di gruppo,19359
V005,aggressione/scontro,1511
V005,fuga,3375
V005,aggressione/scontro,2187
V005,fuga,2707
V005,rivelazione,3442
V005,digressione,977
V005,pausa/sospensione,5977
V005,digressione,3899
V005,digressione,351
V005,digressione,747
V005,incontro di gruppo,6200
V005,aggressione/scontro,1197
V005,fuga,1517
V005,smarrimento/dubbio,630
V005,aggressione/scontro,414
V005,partenza/sparizione,98
V005,angoscia/delusione,1381
V005,incontro femminile,16383
V005,illusione/speranza,764
V005,incontro maschile,6496
V005,aggressione/scontro,385
V005,aggressione/scontro,7346
V005,partenza/sparizione,2721
V005,digressione,890
V005,pausa/sospensione,37423
V005,digressione,4270
V005,digressione,4594
V005,incontro maschile,2872
V005,aggressione/scontro,364
V005,fuga,746
V005,compito/missione,4683
V005,incontro maschile,387
V005,incontro di gruppo,3227
V005,incontro di gruppo,5461
V005,digressione,8502
V005,incontro animale,8192
V005,angoscia/delusione,1856
V005,pausa/sospensione,3907
V005,incontro maschile,76905
V005,incontro maschile,21258
V005,smarrimento/dubbio,4698
V005,iniziativa/piano,4364
V005,aggressione/scontro,1135
V005,fallimento,1678
V005,partenza/sparizione,2308
V005,incontro maschile,5116
V005,smarrimento/dubbio,1658
V005,partenza/sparizione,3301
V005,aggressione/scontro,5542
V005,aggressione/scontro,13727
V005,iniziativa/piano,4559
V005,incontro maschile,3622
V005,rivelazione,3997
V005,incontro maschile,16064
V005,iniziativa/piano,1590
V005,aggressione/scontro,4539
V005,fuga,280
V005,inseguimento/ricerca,874
V005,fuga,4780
V005,partenza/sparizione,1966
V005,partenza/sparizione,2680
V005,angoscia/delusione,7268
V005,incontro di gruppo,10079
V005,incontro femminile,1851
V005,scena erotica,514
V005,aggressione/scontro,4743
V005,angoscia/delusione,3201
V005,partenza/sparizione,2705
V005,partenza/sparizione,389
V005,scena erotica,5576
V005,pausa/sospensione,12467
V005,angoscia/delusione,3250
V005,iniziativa/piano,937
V005,incontro maschile,2698
V005,partenza/sparizione,3350
V005,angoscia/delusione,1635
V005,partenza/sparizione,7390
V005,incontro femminile,35287
V005,rivelazione,2514
V005,iniziativa/piano,3083
V005,angoscia/delusione,4127
V005,scena erotica,3377
V005,illusione/speranza,5137
V005,aggressione/scontro,877
V005,fuga,1606
V005,ritorno,4315
V005,fuga,2602
V005,ritorno,706
V005,angoscia/delusione,4103
V005,incontro maschile,12081
V005,aggressione/scontro,525
V005,rivelazione,4711
V005,iniziativa/piano,1599
V005,aggressione/scontro,1578
V005,fuga,340
V005,angoscia/delusione,1489
V005,partenza/sparizione,657
V005,partenza/sparizione,2414
V005,angoscia/delusione,2257
V005,smarrimento/dubbio,6129
V005,iniziativa/piano,2017
V005,aggressione/scontro,5860
V005,aggressione/scontro,2976
V005,iniziativa/piano,1654
V005,aggressione/scontro,1654
V005,aggressione/scontro,4519
V005,incontro di gruppo,5772
V005,iniziativa/piano,2670
V005,illusione/speranza,688
V005,partenza/sparizione,1317
V005,iniziativa/piano,3930
V005,incontro di gruppo,10146
V005,angoscia/delusione,386
V005,iniziativa/piano,2113
V005,aggressione/scontro,3713
V005,partenza/sparizione,1743
V005,racconto incastonato,12318
V005,aggressione/scontro,8469
V005,aggressione/scontro,306
V005,aggressione/scontro,223
V005,aggressione/scontro,429
V005,aggressione/scontro,510
V005,aggressione/scontro,4294
V005,aggressione/scontro,250
V005,aggressione/scontro,1595
V005,incontro maschile,2336
V005,angoscia/delusione,1055
V005,iniziativa/piano,1280
V005,partenza/sparizione,1267
V005,incontro maschile,2859
V005,angoscia/delusione,2055
V005,incontro maschile,0
V005,partenza/sparizione,3036
V005,incontro maschile,4693
V005,incontro maschile,1302
V005,incontro maschile,1058
V005,partenza/sparizione,398
V005,partenza/sparizione,825
V005,angoscia/delusione,3570
V005,partenza/sparizione,3271
V005,metanarrazione,1645
V006,,
V006,struttura,16861
V006,struttura,413374
V006,iniziativa/piano,2002
V006,viaggio,1536
V006,inseguimento/ricerca,866
V006,rivelazione,810
V006,incontro femminile,558
V006,smarrimento/dubbio,2067
V006,iniziativa/piano,840
V006,fallimento,697
V006,offerta,1611
V006,iniziativa/piano,6646
V006,fallimento,921
V006,offerta,480
V006,fallimento,403
V006,offerta,557
V006,fallimento,187
V006,offerta,169
V006,fallimento,398
V006,offerta,652
V006,pausa/sospensione,610
V006,aggressione/scontro,648
V006,successo,803
V006,struttura,16625
V006,incontro maschile,3324
V006,offerta,837
V006,rifiuto,2271
V006,offerta,2526
V006,rifiuto,474
V006,offerta,1178
V006,rifiuto,323
V006,offerta,1365
V006,rifiuto,344
V006,offerta,523
V006,rifiuto,48
V006,offerta,643
V006,rifiuto,56
V006,offerta,140
V006,rifiuto,44
V006,aggressione/scontro,1266
V006,offerta,107
V006,rifiuto,48
V006,aggressione/scontro,997
V006,struttura,9906
V006,iniziativa/piano,3810
V006,iniziativa/piano,1289
V006,incontro femminile,3195
V006,incontro di gruppo,540
V006,aggressione/scontro,762
V006,fuga,755
V006,aggressione/scontro,805
V006,fuga,230
V006,iniziativa/piano,540
V006,struttura,8487
V006,iniziativa/piano,590
V006,fuga,1605
V006,iniziativa/piano,1434
V006,iniziativa/piano,548
V006,iniziativa/piano,1171
V006,iniziativa/piano,697
V006,iniziativa/piano,522
V006,incontro maschile,1470
V006,fuga,187
V006,iniziativa/piano,303
V006,struttura,15006
V006,incontro di gruppo,952
V006,iniziativa/piano,1145
V006,aggressione/scontro,910
V006,viaggio,1357
V006,pausa/sospensione,1992
V006,aggressione/scontro,910
V006,incontro di gruppo,879
V006,pausa/sospensione,3287
V006,aggressione/scontro,987
V006,iniziativa/piano,823
V006,successo,283
